TIMEPERIOD,APPROPRIATION($M)
1974,8.6
1975,15.5
1976,22.4
1977,25
1978,24.7
1979,28.1
1980,30.2
1981,27.5
1982,27.8
1983,28.2
1984,31.9
1985,32.5
1986,29.8
1987,32.6
1988,32.4
1989,32.8
1990,33
1991,33
1992,35.1
1993,34.6
1994,34.4
1995,33.4
1996,5.6
1997,0
